Date,New Daily Cases,New Daily Cases (cumulative),New Daily Deaths,New Daily Deaths (cumulative),New Hospital Admissions,New Hospital Admissions (cumulative),"New Vaccinations, 1st dose","New Vaccinations, 1st dose (cumulative)","New Vaccinations, 2nd dose","New Vaccinations, 2nd dose (cumulative)"
2020-02-22,,,1.0,3.0,,,,,,
2020-02-22,0.0,36.0,,,,,,,,
2020-02-23,6.0,42.0,,,,,,,,
2020-02-23,,,0.0,3.0,,,,,,
2020-02-24,2.0,44.0,,,,,,,,
2020-02-24,,,0.0,3.0,,,,,,
2020-02-25,3.0,47.0,,,,,,,,
2020-02-25,,,0.0,3.0,,,,,,
2020-02-26,,,0.0,3.0,,,,,,
2020-02-26,2.0,49.0,,,,,,,,
2020-02-27,8.0,57.0,,,,,,,,
2020-02-27,,,0.0,3.0,,,,,,
2020-02-28,12.0,69.0,,,,,,,,
2020-02-28,,,0.0,3.0,,,,,,
2020-02-29,,,0.0,3.0,,,,,,
2020-02-29,4.0,73.0,,,,,,,,
2020-03-01,,,0.0,3.0,,,,,,
2020-03-01,20.0,93.0,,,,,,,,
2020-03-02,41.0,134.0,,,,,,,,
2020-03-02,,,1.0,4.0,,,,,,
2020-03-03,57.0,191.0,,,,,,,,
2020-03-03,,,0.0,4.0,,,,,,
2020-03-04,56.0,247.0,,,,,,,,
2020-03-04,,,1.0,5.0,,,,,,
2020-03-05,49.0,296.0,,,,,,,,
2020-03-05,,,2.0,7.0,,,,,,
2020-03-06,83.0,379.0,,,,,,,,
2020-03-06,,,2.0,9.0,,,,,,
2020-03-07,,,0.0,9.0,,,,,,
2020-03-07,68.0,447.0,,,,,,,,
2020-03-08,,,2.0,11.0,,,,,,
2020-03-08,55.0,502.0,,,,,,,,
2020-03-09,,,5.0,16.0,,,,,,
2020-03-09,148.0,650.0,,,,,,,,
2020-03-10,265.0,915.0,,,,,,,,
2020-03-10,,,3.0,19.0,,,,,,
2020-03-11,403.0,1318.0,,,,,,,,
2020-03-11,,,7.0,26.0,,,,,,
2020-03-12,484.0,1802.0,,,,,,,,
2020-03-12,,,13.0,39.0,,,,,,
2020-03-13,,,16.0,55.0,,,,,,
2020-03-13,478.0,2280.0,,,,,,,,
2020-03-14,,,21.0,76.0,,,,,,
2020-03-14,352.0,2632.0,,,,,,,,
2020-03-15,441.0,3073.0,,,,,,,,
2020-03-15,,,31.0,107.0,,,,,,
2020-03-16,,,51.0,158.0,,,,,,
2020-03-16,602.0,3675.0,,,,,,,,
2020-03-17,,,58.0,216.0,,,,,,
2020-03-17,783.0,4458.0,,,,,,,,
2020-03-18,,,73.0,289.0,,,,,,
2020-03-18,981.0,5439.0,,,,,,,,
2020-03-19,,,79.0,368.0,,,,,,
2020-03-19,1042.0,6481.0,,,,,,,,
2020-03-20,,,118.0,486.0,,,,,,
2020-03-20,1252.0,7733.0,,,,,,,,
2020-03-21,,,144.0,630.0,,,,,,
2020-03-21,1181.0,8914.0,,,,,,,,
2020-03-22,1363.0,10277.0,,,,,,,,
2020-03-22,,,183.0,813.0,,,,,,
2020-03-23,,,208.0,1021.0,,,,,,
2020-03-23,2290.0,12567.0,,,1273.0,4874.0,,,,
2020-03-24,2354.0,14921.0,,,1718.0,6592.0,,,,
2020-03-24,,,263.0,1284.0,,,,,,
2020-03-25,2666.0,17587.0,,,2087.0,8679.0,,,,
2020-03-25,,,337.0,1621.0,,,,,,
2020-03-26,3039.0,20626.0,,,1931.0,10610.0,,,,
2020-03-26,,,413.0,2034.0,,,,,,
2020-03-27,,,463.0,2497.0,,,,,,
2020-03-27,3154.0,23780.0,,,2229.0,12839.0,,,,
2020-03-28,2774.0,26554.0,,,2196.0,15035.0,,,,
2020-03-28,,,516.0,3013.0,,,,,,
2020-03-29,2818.0,29372.0,,,2492.0,17527.0,,,,
2020-03-29,,,586.0,3599.0,,,,,,
2020-03-30,4195.0,33567.0,,,3189.0,20716.0,,,,
2020-03-30,,,711.0,4310.0,,,,,,
2020-03-31,4463.0,38030.0,,,2834.0,23550.0,,,,
2020-03-31,,,831.0,5141.0,,,,,,
2020-04-01,4891.0,42921.0,,,3565.0,27115.0,,,,
2020-04-01,,,924.0,6065.0,,,,,,
2020-04-02,,,1007.0,7072.0,,,,,,
2020-04-02,4824.0,47745.0,,,3284.0,30399.0,,,,
2020-04-03,,,1061.0,8133.0,,,,,,
2020-04-03,4852.0,52597.0,,,2932.0,33331.0,,,,
2020-04-04,3976.0,56573.0,,,2922.0,36253.0,,,,
2020-04-04,,,1147.0,9280.0,,,,,,
2020-04-05,3556.0,60129.0,,,2913.0,39166.0,,,,
2020-04-05,,,1220.0,10500.0,,,,,,
2020-04-06,5273.0,65402.0,,,3047.0,42213.0,,,,
2020-04-06,,,1170.0,11670.0,,,,,,
2020-04-07,,,1293.0,12963.0,,,,,,
2020-04-07,5477.0,70879.0,,,3150.0,45363.0,,,,
2020-04-08,5146.0,76025.0,,,2966.0,48329.0,,,,
2020-04-08,,,1461.0,14424.0,,,,,,
2020-04-09,4875.0,80900.0,,,2631.0,50960.0,,,,
2020-04-09,,,1375.0,15799.0,,,,,,
2020-04-10,4327.0,85227.0,,,2461.0,53421.0,,,,
2020-04-10,,,1319.0,17118.0,,,,,,
2020-04-11,3585.0,88812.0,,,2163.0,55584.0,,,,
2020-04-11,,,1365.0,18483.0,,,,,,
2020-04-12,3507.0,92319.0,,,2066.0,57650.0,,,,
2020-04-12,,,1378.0,19861.0,,,,,,
2020-04-13,4203.0,96522.0,,,2162.0,59812.0,,,,
2020-04-13,,,1232.0,21093.0,,,,,,
2020-04-14,,,1254.0,22347.0,,,,,,
2020-04-14,4335.0,100857.0,,,2088.0,61900.0,,,,
2020-04-15,,,1276.0,23623.0,,,,,,
2020-04-15,5070.0,105927.0,,,1880.0,63780.0,,,,
2020-04-16,,,1322.0,24945.0,,,,,,
2020-04-16,5292.0,111219.0,,,2011.0,65791.0,,,,
2020-04-17,4977.0,116196.0,,,1966.0,67757.0,,,,
2020-04-17,,,1272.0,26217.0,,,,,,
2020-04-18,4744.0,120940.0,,,1630.0,69387.0,,,,
2020-04-18,,,1189.0,27406.0,,,,,,
2020-04-19,3881.0,124821.0,,,1657.0,71044.0,,,,
2020-04-19,,,1122.0,28528.0,,,,,,
2020-04-20,,,1160.0,29688.0,,,,,,
2020-04-20,4441.0,129262.0,,,1736.0,72780.0,,,,
2020-04-21,,,1085.0,30773.0,,,,,,
2020-04-21,4795.0,134057.0,,,1712.0,74492.0,,,,
2020-04-22,5517.0,139574.0,,,1530.0,76022.0,,,,
2020-04-22,,,1102.0,31875.0,,,,,,
2020-04-23,,,1038.0,32913.0,,,,,,
2020-04-23,5167.0,144741.0,,,1512.0,77534.0,,,,
2020-04-24,,,1005.0,33918.0,,,,,,
2020-04-24,4961.0,149702.0,,,1525.0,79059.0,,,,
2020-04-25,3757.0,153459.0,,,1253.0,80312.0,,,,
2020-04-25,,,919.0,34837.0,,,,,,
2020-04-26,,,894.0,35731.0,,,,,,
2020-04-26,3476.0,156935.0,,,1355.0,81667.0,,,,
2020-04-27,,,866.0,36597.0,,,,,,
2020-04-27,4739.0,161674.0,,,1536.0,83203.0,,,,
2020-04-28,,,801.0,37398.0,,,,,,
2020-04-28,4719.0,166393.0,,,1518.0,84721.0,,,,
2020-04-29,,,817.0,38215.0,,,,,,
2020-04-29,5433.0,171826.0,,,1488.0,86209.0,,,,
2020-04-30,,,780.0,38995.0,,,,,,
2020-04-30,4961.0,176787.0,,,1442.0,87651.0,,,,
2020-05-01,,,786.0,39781.0,,,,,,
2020-05-01,4766.0,181553.0,,,1262.0,88913.0,,,,
2020-05-02,,,705.0,40486.0,,,,,,
2020-05-02,3258.0,184811.0,,,1180.0,90093.0,,,,
2020-05-03,,,662.0,41148.0,,,,,,
2020-05-03,3002.0,187813.0,,,1188.0,91281.0,,,,
2020-05-04,3398.0,191211.0,,,1249.0,92530.0,,,,
2020-05-04,,,676.0,41824.0,,,,,,
2020-05-05,3686.0,194897.0,,,1146.0,93676.0,,,,
2020-05-05,,,642.0,42466.0,,,,,,
2020-05-06,3832.0,198729.0,,,1204.0,94880.0,,,,
2020-05-06,,,627.0,43093.0,,,,,,
2020-05-07,3787.0,202516.0,,,1166.0,96046.0,,,,
2020-05-07,,,631.0,43724.0,,,,,,
2020-05-08,3064.0,205580.0,,,909.0,96955.0,,,,
2020-05-08,,,569.0,44293.0,,,,,,
2020-05-09,2170.0,207750.0,,,944.0,97899.0,,,,
2020-05-09,,,539.0,44832.0,,,,,,
2020-05-10,2337.0,210087.0,,,915.0,98814.0,,,,
2020-05-10,,,494.0,45326.0,,,,,,
2020-05-11,3612.0,213699.0,,,1029.0,99843.0,,,,
2020-05-11,,,428.0,45754.0,,,,,,
2020-05-12,3410.0,217109.0,,,983.0,100826.0,,,,
2020-05-12,,,441.0,46195.0,,,,,,
2020-05-13,,,454.0,46649.0,,,,,,
2020-05-13,3330.0,220439.0,,,966.0,101792.0,,,,
2020-05-14,2630.0,223069.0,,,908.0,102700.0,,,,
2020-05-14,,,465.0,47114.0,,,,,,
2020-05-15,2530.0,225599.0,,,868.0,103568.0,,,,
2020-05-15,,,421.0,47535.0,,,,,,
2020-05-16,,,419.0,47954.0,,,,,,
2020-05-16,2082.0,227681.0,,,813.0,104381.0,,,,
2020-05-17,1837.0,229518.0,,,792.0,105173.0,,,,
2020-05-17,,,377.0,48331.0,,,,,,
2020-05-18,2581.0,232099.0,,,848.0,106021.0,,,,
2020-05-18,,,407.0,48738.0,,,,,,
2020-05-19,3063.0,235162.0,,,880.0,106901.0,,,,
2020-05-19,,,372.0,49110.0,,,,,,
2020-05-20,,,353.0,49463.0,,,,,,
2020-05-20,2719.0,237881.0,,,850.0,107751.0,,,,
2020-05-21,,,342.0,49805.0,,,,,,
2020-05-21,2567.0,240448.0,,,841.0,108592.0,,,,
2020-05-22,,,300.0,50105.0,,,,,,
2020-05-22,2057.0,242505.0,,,740.0,109332.0,,,,
2020-05-23,1532.0,244037.0,,,643.0,109975.0,,,,
2020-05-23,,,284.0,50389.0,,,,,,
2020-05-24,1373.0,245410.0,,,587.0,110562.0,,,,
2020-05-24,,,281.0,50670.0,,,,,,
2020-05-25,1625.0,247035.0,,,602.0,111164.0,,,,
2020-05-25,,,279.0,50949.0,,,,,,
2020-05-26,,,300.0,51249.0,,,,,,
2020-05-26,2070.0,249105.0,,,698.0,111862.0,,,,
2020-05-27,1825.0,250930.0,,,712.0,112574.0,,,,
2020-05-27,,,282.0,51531.0,,,,,,
2020-05-28,,,288.0,51819.0,,,,,,
2020-05-28,1757.0,252687.0,,,702.0,113276.0,,,,
2020-05-29,,,254.0,52073.0,,,,,,
2020-05-29,1531.0,254218.0,,,614.0,113890.0,,,,
2020-05-30,1132.0,255350.0,,,568.0,114458.0,,,,
2020-05-30,,,219.0,52292.0,,,,,,
2020-05-31,,,195.0,52487.0,,,,,,
2020-05-31,1080.0,256430.0,,,528.0,114986.0,,,,
2020-06-01,1439.0,257869.0,,,605.0,115591.0,,,,
2020-06-01,,,199.0,52686.0,,,,,,
2020-06-02,,,233.0,52919.0,,,,,,
2020-06-02,1492.0,259361.0,,,668.0,116259.0,,,,
2020-06-03,,,203.0,53122.0,,,,,,
2020-06-03,1369.0,260730.0,,,632.0,116891.0,,,,
2020-06-04,,,183.0,53305.0,,,,,,
2020-06-04,1249.0,261979.0,,,564.0,117455.0,,,,
2020-06-05,,,184.0,53489.0,,,,,,
2020-06-05,1123.0,263102.0,,,475.0,117930.0,,,,
2020-06-06,804.0,263906.0,,,407.0,118337.0,,,,
2020-06-06,,,151.0,53640.0,,,,,,
2020-06-07,,,163.0,53803.0,,,,,,
2020-06-07,722.0,264628.0,,,406.0,118743.0,,,,
2020-06-08,1099.0,265727.0,,,412.0,119155.0,,,,
2020-06-08,,,161.0,53964.0,,,,,,
2020-06-09,1165.0,266892.0,,,491.0,119646.0,,,,
2020-06-09,,,137.0,54101.0,,,,,,
2020-06-10,,,166.0,54267.0,,,,,,
2020-06-10,1196.0,268088.0,,,511.0,120157.0,,,,
2020-06-11,,,121.0,54388.0,,,,,,
2020-06-11,1013.0,269101.0,,,446.0,120603.0,,,,
2020-06-12,,,135.0,54523.0,,,,,,
2020-06-12,1053.0,270154.0,,,393.0,120996.0,,,,
2020-06-13,886.0,271040.0,,,385.0,121381.0,,,,
2020-06-13,,,101.0,54624.0,,,,,,
2020-06-14,826.0,271866.0,,,364.0,121745.0,,,,
2020-06-14,,,136.0,54760.0,,,,,,
2020-06-15,,,107.0,54867.0,,,,,,
2020-06-15,1045.0,272911.0,,,439.0,122184.0,,,,
2020-06-16,,,120.0,54987.0,,,,,,
2020-06-16,1103.0,274014.0,,,455.0,122639.0,,,,
2020-06-17,,,105.0,55092.0,,,,,,
2020-06-17,1017.0,275031.0,,,431.0,123070.0,,,,
2020-06-18,,,90.0,55182.0,,,,,,
2020-06-18,1022.0,276053.0,,,402.0,123472.0,,,,
2020-06-19,993.0,277046.0,,,336.0,123808.0,,,,
2020-06-19,,,88.0,55270.0,,,,,,
2020-06-20,683.0,277729.0,,,258.0,124066.0,,,,
2020-06-20,,,87.0,55357.0,,,,,,
2020-06-21,636.0,278365.0,,,288.0,124354.0,,,,
2020-06-21,,,80.0,55437.0,,,,,,
2020-06-22,899.0,279264.0,,,392.0,124746.0,,,,
2020-06-22,,,83.0,55520.0,,,,,,
2020-06-23,883.0,280147.0,,,362.0,125108.0,,,,
2020-06-23,,,97.0,55617.0,,,,,,
2020-06-24,,,101.0,55718.0,,,,,,
2020-06-24,777.0,280924.0,,,367.0,125475.0,,,,
2020-06-25,726.0,281650.0,,,324.0,125799.0,,,,
2020-06-25,,,108.0,55826.0,,,,,,
2020-06-26,,,79.0,55905.0,,,,,,
2020-06-26,666.0,282316.0,,,338.0,126137.0,,,,
2020-06-27,,,73.0,55978.0,,,,,,
2020-06-27,653.0,282969.0,,,286.0,126423.0,,,,
2020-06-28,,,71.0,56049.0,,,,,,
2020-06-28,449.0,283418.0,,,208.0,126631.0,,,,
2020-06-29,,,69.0,56118.0,,,,,,
2020-06-29,724.0,284142.0,,,219.0,126850.0,,,,
2020-06-30,,,81.0,56199.0,,,,,,
2020-06-30,623.0,284765.0,,,296.0,127146.0,,,,
2020-07-01,652.0,285417.0,,,270.0,127416.0,,,,
2020-07-01,,,54.0,56253.0,,,,,,
2020-07-02,,,61.0,56314.0,,,,,,
2020-07-02,606.0,286023.0,,,216.0,127632.0,,,,
2020-07-03,568.0,286591.0,,,214.0,127846.0,,,,
2020-07-03,,,48.0,56362.0,,,,,,
2020-07-04,,,52.0,56414.0,,,,,,
2020-07-04,399.0,286990.0,,,202.0,128048.0,,,,
2020-07-05,,,52.0,56466.0,,,,,,
2020-07-05,558.0,287548.0,,,195.0,128243.0,,,,
2020-07-06,,,54.0,56520.0,,,,,,
2020-07-06,714.0,288262.0,,,203.0,128446.0,,,,
2020-07-07,,,43.0,56563.0,,,,,,
2020-07-07,609.0,288871.0,,,215.0,128661.0,,,,
2020-07-08,,,47.0,56610.0,,,,,,
2020-07-08,713.0,289584.0,,,207.0,128868.0,,,,
2020-07-09,722.0,290306.0,,,214.0,129082.0,,,,
2020-07-09,,,61.0,56671.0,,,,,,
2020-07-10,568.0,290874.0,,,175.0,129257.0,,,,
2020-07-10,,,44.0,56715.0,,,,,,
2020-07-11,459.0,291333.0,,,177.0,129434.0,,,,
2020-07-11,,,38.0,56753.0,,,,,,
2020-07-12,366.0,291699.0,,,114.0,129548.0,,,,
2020-07-12,,,32.0,56785.0,,,,,,
2020-07-13,740.0,292439.0,,,189.0,129737.0,,,,
2020-07-13,,,45.0,56830.0,,,,,,
2020-07-14,,,42.0,56872.0,,,,,,
2020-07-14,705.0,293144.0,,,186.0,129923.0,,,,
2020-07-15,777.0,293921.0,,,168.0,130091.0,,,,
2020-07-15,,,41.0,56913.0,,,,,,
2020-07-16,,,21.0,56934.0,,,,,,
2020-07-16,712.0,294633.0,,,166.0,130257.0,,,,
2020-07-17,,,34.0,56968.0,,,,,,
2020-07-17,582.0,295215.0,,,143.0,130400.0,,,,
2020-07-18,,,31.0,56999.0,,,,,,
2020-07-18,505.0,295720.0,,,105.0,130505.0,,,,
2020-07-19,448.0,296168.0,,,126.0,130631.0,,,,
2020-07-19,,,24.0,57023.0,,,,,,
2020-07-20,830.0,296998.0,,,130.0,130761.0,,,,
2020-07-20,,,31.0,57054.0,,,,,,
2020-07-21,,,31.0,57085.0,,,,,,
2020-07-21,788.0,297786.0,,,125.0,130886.0,,,,
2020-07-22,,,34.0,57119.0,,,,,,
2020-07-22,816.0,298602.0,,,158.0,131044.0,,,,
2020-07-23,,,36.0,57155.0,,,,,,
2020-07-23,808.0,299410.0,,,198.0,131242.0,,,,
2020-07-24,,,19.0,57174.0,,,,,,
2020-07-24,774.0,300184.0,,,159.0,131401.0,,,,
2020-07-25,,,23.0,57197.0,,,,,,
2020-07-25,530.0,300714.0,,,120.0,131521.0,,,,
2020-07-26,,,32.0,57229.0,,,,,,
2020-07-26,563.0,301277.0,,,109.0,131630.0,,,,
2020-07-27,869.0,302146.0,,,129.0,131759.0,,,,
2020-07-27,,,18.0,57247.0,,,,,,
2020-07-28,856.0,303002.0,,,119.0,131878.0,,,,
2020-07-28,,,26.0,57273.0,,,,,,
2020-07-29,1062.0,304064.0,,,131.0,132009.0,,,,
2020-07-29,,,28.0,57301.0,,,,,,
2020-07-30,946.0,305010.0,,,132.0,132141.0,,,,
2020-07-30,,,17.0,57318.0,,,,,,
2020-07-31,,,31.0,57349.0,,,,,,
2020-07-31,697.0,305707.0,,,114.0,132255.0,,,,
2020-08-01,,,20.0,57369.0,,,,,,
2020-08-01,559.0,306266.0,,,128.0,132383.0,,,,
2020-08-02,,,17.0,57386.0,,,,,,
2020-08-02,564.0,306830.0,,,93.0,132476.0,,,,
2020-08-03,1060.0,307890.0,,,109.0,132585.0,,,,
2020-08-03,,,23.0,57409.0,,,,,,
2020-08-04,,,27.0,57436.0,,,,,,
2020-08-04,1065.0,308955.0,,,125.0,132710.0,,,,
2020-08-05,,,13.0,57449.0,,,,,,
2020-08-05,1092.0,310047.0,,,138.0,132848.0,,,,
2020-08-06,,,21.0,57470.0,,,,,,
2020-08-06,1105.0,311152.0,,,100.0,132948.0,,,,
2020-08-07,973.0,312125.0,,,117.0,133065.0,,,,
2020-08-07,,,24.0,57494.0,,,,,,
2020-08-08,710.0,312835.0,,,140.0,133205.0,,,,
2020-08-08,,,22.0,57516.0,,,,,,
2020-08-09,627.0,313462.0,,,106.0,133311.0,,,,
2020-08-09,,,19.0,57535.0,,,,,,
2020-08-10,,,25.0,57560.0,,,,,,
2020-08-10,1499.0,314961.0,,,86.0,133397.0,,,,
2020-08-11,1378.0,316339.0,,,114.0,133511.0,,,,
2020-08-11,,,20.0,57580.0,,,,,,
2020-08-12,1242.0,317581.0,,,101.0,133612.0,,,,
2020-08-12,,,24.0,57604.0,,,,,,
2020-08-13,1156.0,318737.0,,,129.0,133741.0,,,,
2020-08-13,,,23.0,57627.0,,,,,,
2020-08-14,1185.0,319922.0,,,100.0,133841.0,,,,
2020-08-14,,,18.0,57645.0,,,,,,
2020-08-15,714.0,320636.0,,,99.0,133940.0,,,,
2020-08-15,,,23.0,57668.0,,,,,,
2020-08-16,,,15.0,57683.0,,,,,,
2020-08-16,602.0,321238.0,,,80.0,134020.0,,,,
2020-08-17,,,21.0,57704.0,,,,,,
2020-08-17,1298.0,322536.0,,,95.0,134115.0,,,,
2020-08-18,1116.0,323652.0,,,128.0,134243.0,,,,
2020-08-18,,,15.0,57719.0,,,,,,
2020-08-19,1282.0,324934.0,,,113.0,134356.0,,,,
2020-08-19,,,13.0,57732.0,,,,,,
2020-08-20,,,16.0,57748.0,,,,,,
2020-08-20,1498.0,326432.0,,,98.0,134454.0,,,,
2020-08-21,1218.0,327650.0,,,109.0,134563.0,,,,
2020-08-21,,,10.0,57758.0,,,,,,
2020-08-22,,,12.0,57770.0,,,,,,
2020-08-22,842.0,328492.0,,,73.0,134636.0,,,,
2020-08-23,831.0,329323.0,,,74.0,134710.0,,,,
2020-08-23,,,17.0,57787.0,,,,,,
2020-08-24,1301.0,330624.0,,,91.0,134801.0,,,,
2020-08-24,,,10.0,57797.0,,,,,,
2020-08-25,,,22.0,57819.0,,,,,,
2020-08-25,1270.0,331894.0,,,119.0,134920.0,,,,
2020-08-26,1388.0,333282.0,,,130.0,135050.0,,,,
2020-08-26,,,16.0,57835.0,,,,,,
2020-08-27,1591.0,334873.0,,,152.0,135202.0,,,,
2020-08-27,,,12.0,57847.0,,,,,,
2020-08-28,1632.0,336505.0,,,138.0,135340.0,,,,
2020-08-28,,,12.0,57859.0,,,,,,
2020-08-29,1230.0,337735.0,,,110.0,135450.0,,,,
2020-08-29,,,8.0,57867.0,,,,,,
2020-08-30,1171.0,338906.0,,,77.0,135527.0,,,,
2020-08-30,,,11.0,57878.0,,,,,,
2020-08-31,,,18.0,57896.0,,,,,,
2020-08-31,1513.0,340419.0,,,90.0,135617.0,,,,
2020-09-01,,,11.0,57907.0,,,,,,
2020-09-01,2288.0,342707.0,,,134.0,135751.0,,,,
2020-09-02,,,15.0,57922.0,,,,,,
2020-09-02,3077.0,345784.0,,,145.0,135896.0,,,,
2020-09-03,,,9.0,57931.0,,,,,,
2020-09-03,3152.0,348936.0,,,146.0,136042.0,,,,
2020-09-04,3092.0,352028.0,,,154.0,136196.0,,,,
2020-09-04,,,15.0,57946.0,,,,,,
2020-09-05,,,14.0,57960.0,,,,,,
2020-09-05,2551.0,354579.0,,,130.0,136326.0,,,,
2020-09-06,2465.0,357044.0,,,137.0,136463.0,,,,
2020-09-06,,,13.0,57973.0,,,,,,
2020-09-07,3931.0,360975.0,,,145.0,136608.0,,,,
2020-09-07,,,24.0,57997.0,,,,,,
2020-09-08,,,16.0,58013.0,,,,,,
2020-09-08,3370.0,364345.0,,,184.0,136792.0,,,,
2020-09-09,,,14.0,58027.0,,,,,,
2020-09-09,3365.0,367710.0,,,203.0,136995.0,,,,
2020-09-10,3628.0,371338.0,,,217.0,137212.0,,,,
2020-09-10,,,16.0,58043.0,,,,,,
2020-09-11,,,20.0,58063.0,,,,,,
2020-09-11,3324.0,374662.0,,,230.0,137442.0,,,,
2020-09-12,,,23.0,58086.0,,,,,,
2020-09-12,2670.0,377332.0,,,217.0,137659.0,,,,
2020-09-13,2154.0,379486.0,,,227.0,137886.0,,,,
2020-09-13,,,20.0,58106.0,,,,,,
2020-09-14,,,21.0,58127.0,,,,,,
2020-09-14,3428.0,382914.0,,,257.0,138143.0,,,,
2020-09-15,3551.0,386465.0,,,268.0,138411.0,,,,
2020-09-15,,,26.0,58153.0,,,,,,
2020-09-16,4399.0,390864.0,,,281.0,138692.0,,,,
2020-09-16,,,31.0,58184.0,,,,,,
2020-09-17,4675.0,395539.0,,,264.0,138956.0,,,,
2020-09-17,,,38.0,58222.0,,,,,,
2020-09-18,4973.0,400512.0,,,262.0,139218.0,,,,
2020-09-18,,,30.0,58252.0,,,,,,
2020-09-19,4889.0,405401.0,,,261.0,139479.0,,,,
2020-09-19,,,25.0,58277.0,,,,,,
2020-09-20,,,40.0,58317.0,,,,,,
2020-09-20,5340.0,410741.0,,,288.0,139767.0,,,,
2020-09-21,,,30.0,58347.0,,,,,,
2020-09-21,5627.0,416368.0,,,371.0,140138.0,,,,
2020-09-22,6441.0,422809.0,,,350.0,140488.0,,,,
2020-09-22,,,39.0,58386.0,,,,,,
2020-09-23,,,58.0,58444.0,,,,,,
2020-09-23,7096.0,429905.0,,,422.0,140910.0,,,,
2020-09-24,7682.0,437587.0,,,423.0,141333.0,,,,
2020-09-24,,,34.0,58478.0,,,,,,
2020-09-25,,,40.0,58518.0,,,,,,
2020-09-25,7318.0,444905.0,,,382.0,141715.0,,,,
2020-09-26,,,47.0,58565.0,,,,,,
2020-09-26,6810.0,451715.0,,,351.0,142066.0,,,,
2020-09-27,,,56.0,58621.0,,,,,,
2020-09-27,7023.0,458738.0,,,342.0,142408.0,,,,
2020-09-28,,,55.0,58676.0,,,,,,
2020-09-28,9983.0,468721.0,,,444.0,142852.0,,,,
2020-09-29,10367.0,479088.0,,,440.0,143292.0,,,,
2020-09-29,,,48.0,58724.0,,,,,,
2020-09-30,,,61.0,58785.0,,,,,,
2020-09-30,12717.0,491805.0,,,451.0,143743.0,,,,
2020-10-01,13358.0,505163.0,,,528.0,144271.0,,,,
2020-10-01,,,71.0,58856.0,,,,,,
2020-10-02,13854.0,519017.0,,,531.0,144802.0,,,,
2020-10-02,,,74.0,58930.0,,,,,,
2020-10-03,11667.0,530684.0,,,536.0,145338.0,,,,
2020-10-03,,,70.0,59000.0,,,,,,
2020-10-04,11954.0,542638.0,,,633.0,145971.0,,,,
2020-10-04,,,63.0,59063.0,,,,,,
2020-10-05,,,68.0,59131.0,,,,,,
2020-10-05,16755.0,559393.0,,,631.0,146602.0,,,,
2020-10-06,17250.0,576643.0,,,725.0,147327.0,,,,
2020-10-06,,,84.0,59215.0,,,,,,
2020-10-07,18575.0,595218.0,,,692.0,148019.0,,,,
2020-10-07,,,110.0,59325.0,,,,,,
2020-10-08,18427.0,613645.0,,,715.0,148734.0,,,,
2020-10-08,,,97.0,59422.0,,,,,,
2020-10-09,15903.0,629548.0,,,708.0,149442.0,,,,
